Time,voltage,current,TH, Ttest, TM_1, TM_2, TM_3
0.00000,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
0.28221,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
0.67941,-0.00100,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
1.08186,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
1.47706,-0.00100,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
1.87894,-0.00100,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
2.28035,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
2.67124,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
3.08023,-0.00100,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
3.47592,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
3.87587,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
4.26379,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
4.66423,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
5.06488,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
5.46419,-0.00100,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
5.86363,-0.00100,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
6.26527,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
6.66301,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
7.04811,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
7.44897,-0.00100,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
7.85889,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
8.24796,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
8.64902,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
9.04984,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
9.44794,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
9.84767,0.00000,0.00000,24.94000,23.69000,23.31000,22.75000,22.81000
